CODE_IRIS;INSEE_COM;NOM_COM;IRIS;NOM_IRIS;TYP_IRIS;DEC_MED19;P18_POP
590090101;59009;Villeneuve-d'Ascq;0101;Breucq;H;26880;1964,446289
590090102;59009;Villeneuve-d'Ascq;0102;Sart;H;26710;1503,051748
590090103;59009;Villeneuve-d'Ascq;0103;Babylone;H;16480;2479,499446
590090104;59009;Villeneuve-d'Ascq;0104;Recueil;H;31800;3080,024172
590090201;59009;Villeneuve-d'Ascq;0201;Prés;H;24050;1275,953937
590090202;59009;Villeneuve-d'Ascq;0202;Gendarmerie;H;20630;572,6654264
590090203;59009;Villeneuve-d'Ascq;0203;Croisure;H;26550;2799,258579
590090204;59009;Villeneuve-d'Ascq;0204;Les Facultés;H;18550;2434,652696
590090206;59009;Villeneuve-d'Ascq;0206;Château;H;25640;2610,617614
590090207;59009;Villeneuve-d'Ascq;0207;Bourg;H;24290;1260,8135
590090301;59009;Villeneuve-d'Ascq;0301;Cousinerie Est;H;24050;2736,393631
590090303;59009;Villeneuve-d'Ascq;0303;Cousinerie Ouest;H;21070;2377,188385
590090304;59009;Villeneuve-d'Ascq;0304;Cousinerie Centre;H;22480;1753,177482
590090305;59009;Villeneuve-d'Ascq;0305;Les Moulins;A;20630;86,27905303
590090306;59009;Villeneuve-d'Ascq;0306;Héron;D;20630;256,7579103
590090401;59009;Villeneuve-d'Ascq;0401;Fusillés;A;20630;109,3627534
590090402;59009;Villeneuve-d'Ascq;0402;Brigode;H;45010;1036,286897
590090403;59009;Villeneuve-d'Ascq;0403;Annappes;H;37200;1493,470315
590090404;59009;Villeneuve-d'Ascq;0404;Moulin d'Ascq;H;24710;1948,593974
590090405;59009;Villeneuve-d'Ascq;0405;Le Pron;H;28380;3898,166837
590090501;59009;Villeneuve-d'Ascq;0501;Liberté;H;26140;1332,471652
590090502;59009;Villeneuve-d'Ascq;0502;Poste;H;13970;2778,449083
590090504;59009;Villeneuve-d'Ascq;0504;Résidence Est;H;12930;2550,953212
590090505;59009;Villeneuve-d'Ascq;0505;Résidence Ouest;H;12420;2185,287186
590090601;59009;Villeneuve-d'Ascq;0601;Cité Scientifique;H;20630;5209,288072
590090602;59009;Villeneuve-d'Ascq;0602;Triolo Est;H;21860;1269,49259
590090603;59009;Villeneuve-d'Ascq;0603;Triolo Ouest;H;10140;2617,032309
590090701;59009;Villeneuve-d'Ascq;0701;Pont de Bois;H;7690;3472,739908
590090703;59009;Villeneuve-d'Ascq;0703;Vétérans;H;9670;2284,503728
590090704;59009;Villeneuve-d'Ascq;0704;Hôtel de Ville;H;11470;1722,559892
590090705;59009;Villeneuve-d'Ascq;0705;Valmy;H;12220;1627,561721
